DMU,Year,Ticker,Firm,Sector,Current Ratio (C/R),Asset Turnover (A/T),Debt to Asset (D/A),Return (R),Risk (σ),Cluster,Efficiency Score (E)
42,2024,AGAE,Allied Gaming & Entertainment Inc,25,3.528870645,0.076242179,0.259709448,-0.271152755,0.050124029,1,0.5083703733161619
45,2024,AGIO,Agios Pharmaceuticals Inc,35,10.6178886,0.03021451,0.117095129,0.364180674,0.037969972,1,0.5732444607537454
61,2024,ALGS,Aligos Therapeutics Inc,35,5.023022473,0.050324546,0.435241867,0.809895343,0.072106425,1,0.5374377468394739
65,2024,ALLO,Allogene Therapeutics Inc,35,11.72310282,6.98e-05,0.208018043,-0.530351961,0.049869427,1,0.8502955579786163
70,2024,ALT,Altimmune Inc,35,15.1068565,0.000288805,0.093395241,-0.377809294,0.059709389,1,0.4626741785321965
80,2024,AMPG,AmpliTech Group Inc,45,7.441688365,0.419544208,0.191765182,0.959019496,0.086927248,1,0.3604390289115469
86,2024,AMST,Amesite Inc,25,5.969443075,0.03079601,0.135837183,0.637861869,0.058929796,1,0.5924226162229645
90,2024,ANAB,AnaptysBio Inc,35,10.35631005,0.128547322,0.870643805,-0.494069762,0.050706134,1,0.22685053426549687
94,2024,ANIK,Anika Therapeutics Inc,35,5.519305697,0.514474406,0.211421032,-0.319668109,0.029944126,1,0.6436475201180402
109,2024,APRE,Aprea Therapeutics Inc,35,7.927988069,0.046526897,0.124932348,-0.418550359,0.052445834,1,0.29941047306129775
116,2024,ARCT,Arcturus Therapeutics Holdings Inc,35,4.01620473,0.399123366,0.338771133,-0.667784088,0.046529529,1,0.4263866626856216
127,2024,ARVN,Arvinas Inc,35,4.350312221,0.129817281,0.50524789,-0.772346866,0.035409694,1,0.5558622177274054
129,2024,ASLE,AerSale Corp,20,6.750938489,0.592913695,0.226788667,-0.682776117,0.034663777,1,0.34240925491306007
133,2024,ASPI,ASP Isotopes Inc,15,4.389529569,0.06388624,0.583450575,0.956836867,0.06973124,1,0.6431298449018519
136,2024,ASTC,Astrotech Corp,45,15.28638198,0.032825564,0.067108037,-0.242012116,0.034442082,1,0.6510810395318498
139,2024,ASTS,AST SpaceMobile Inc,50,5.448407684,0.004417145,0.450474092,1.470294373,0.084998433,1,0.6735668805398672
147,2024,ATOM,Atomera Inc,45,5.798505209,0.029762507,0.213800002,0.580742636,0.054423269,1,0.6301414723167175
152,2024,ATXG,Addentax Group Corp,20,6.964549132,0.095007735,0.518313273,-0.854033536,0.051727365,1,0.27660531650454334
153,2024,AUID,authID Inc,45,6.936071739,0.046161565,0.118414451,-0.460406225,0.05806161,1,0.29225144517486595
163,2024,AWRE,Aware Inc,45,4.702333367,0.380518767,0.258660133,0.137201118,0.042749292,1,0.5475445655887263
168,2024,AXTI,AXT Inc,45,2.181400334,0.268104524,0.247115013,-0.12949096,0.066819168,1,0.5583668701675628
169,2024,AYRO,Ayro Inc,25,8.443510037,0.00488828,0.471531826,-0.927986778,0.039431196,1,0.4291474056004729
186,2024,BEAM,Beam Therapeutics Inc,35,5.897373697,0.266285971,0.325945619,-0.100064282,0.044929159,1,0.3808708431593226
190,2024,BFRG,Bullfrog AI Holdings Inc,35,8.429828069,0.045502275,0.118502724,-0.405465108,0.073486674,1,0.1968147278679979
206,2024,BLDE,Blade Air Mobility Inc,20,6.496742769,0.847722098,0.181604654,0.220206666,0.048035675,1,0.37786116746658976
219,2024,BOLT,Bolt Biotherapeutics Inc,35,4.572605998,0.072952296,0.301005621,-0.773908459,0.043161881,1,0.4459267322175141
227,2024,BRTX,BioRestorative Therapies Inc,35,3.551670113,0.024618398,0.260501184,-0.1846499,0.075135581,1,0.32290737682521864
233,2024,BTBD,BT Brands Inc,25,4.324653365,1.040393459,0.375064363,-0.5428086,0.053745473,1,0.3523955652082338
234,2024,BTCS,BTCS Inc,45,38.66198473,0.065422547,0.02577705,0.28903251,0.070404079,1,1.0
255,2024,CCCC,C4 Therapeutics Inc,35,5.63326642,0.08790744,0.351092544,-0.593940554,0.052833504,1,0.31457562741424694
269,2024,CEAD,CEA Industries Inc,20,10.50289762,0.209530999,0.109513121,0.244301742,0.041033424,1,0.38841398381407805
272,2024,CELH,Celsius Holdings Inc,30,4.411180867,0.83010627,0.282509155,-0.806957066,0.038565055,1,0.4742151079746104
274,2024,CELZ,Creative Medical Technology Holdings Inc,35,22.74404357,0.001249574,0.041718732,-0.68889575,0.052082109,1,1.0
281,2024,CEVA,CEVA Inc,45,7.834243909,0.33655953,0.127658432,0.377030139,0.032627698,1,0.6407998265805847
292,2024,CIFR,Cipher Mining Inc,45,5.407560352,0.218252247,0.121420402,0.116436903,0.07235702,1,0.23964041031626518
296,2024,CLDX,Celldex Therapeutics Inc,35,24.39111695,0.013286988,0.045248147,-0.469459336,0.035784119,1,0.6527118154094768
297,2024,CLFD,Clearfield Inc,45,9.428178384,0.497039321,0.125325509,0.039814407,0.02804413,1,0.3916906617911476
298,2024,CLIR,ClearSign Technologies Corp,20,5.458948396,0.348236443,0.178939018,0.296984456,0.050580904,1,0.4399381252827814
304,2024,CLRO,ClearOne Inc,45,4.458242803,0.318421053,0.227720142,0.033784752,0.065148008,1,0.3162940039800387
306,2024,CLSK,CleanSpark Inc,45,3.754543955,0.278219246,0.102830238,-0.166636398,0.07028874,1,0.3248736265979085
311,2024,CMPX,Compass Therapeutics Inc,35,23.68643208,0.005459401,0.052472868,-0.020478511,0.053546799,1,0.6338679520828683
312,2024,CMRX,Chimerix Inc,35,7.910760609,0.000854844,0.114922815,1.287854316,0.080896217,1,1.0
321,2024,CODA,Coda Octopus Group Inc,45,11.02950988,0.371451818,0.076739943,0.250493772,0.02490811,1,0.6906465865190292
322,2024,CODX,Co-Diagnostic Inc,35,9.229329596,0.08739562,0.103039926,-0.638338914,0.049244745,1,0.29396527655826044
323,2024,COHU,Cohu Inc,45,6.424489044,0.414212819,0.151274691,-0.259479081,0.025621041,1,0.6553979726125828
332,2024,COYA,Coya Therapeutics Inc,35,9.92085079,0.247920802,0.122286663,-0.194463946,0.048609628,1,0.21470294175361526
340,2024,CRBU,Caribou Bioscience Inc,35,9.563242157,0.029492915,0.162531662,-1.253661048,0.055946897,1,0.25365957333125594
342,2024,CRDF,Cardiff Oncology Inc,35,5.683076273,0.009668964,0.183432763,1.042606667,0.073815682,1,0.6156870154448612
346,2024,CRMD,CorMedix Inc,35,5.32800285,0.171856441,0.183426127,0.764789112,0.044791917,1,0.8339843611018373
348,2024,CRNX,Crinetics Pharmaceuticals Inc,35,15.92818982,0.001192055,0.117207217,0.367942153,0.029721076,1,0.7433463161205167
358,2024,CSGP,CoStar Group Inc,60,9.900314451,0.295004895,0.182305408,-0.177093071,0.018383917,1,0.688467868300283
362,2024,CSTL,Castle Biosciences Inc,35,7.69144606,0.651876655,0.133271569,0.193566561,0.040423841,1,0.37989353541818965
367,2024,CTKB,Cytek Biosciences Inc,35,6.851106764,0.410323863,0.204545559,-0.312412288,0.042371727,1,0.2950132439385691
379,2024,CVRX,CVRx Inc,35,11.84191551,0.424712507,0.409871611,-0.878161753,0.065847516,1,0.12422112836006083
387,2024,CYRX,Cryoport Inc,35,8.860570778,0.261803416,0.484794478,-0.68669968,0.046591235,1,0.20733064849960822
396,2024,DATS,DatChat Inc,45,12.72544643,0.000172518,0.077288019,-0.709860646,0.090454319,1,1.0
397,2024,DAWN,Day One BioPharmaceuticals Inc,35,8.638377991,0.23933514,0.116434469,-0.136290041,0.033003889,1,0.3926924577201028
407,2024,DH,Definitive Healthcare Corp,35,2.368742135,0.164000719,0.362824171,-0.904050607,0.042474325,1,0.609303059124185
410,2024,DJCO,Daily Journal Corp,45,10.2618162,0.184362984,0.309535544,0.494220977,0.024653415,1,0.9113065862120763
417,2024,DNLI,Denali Therapeutics Inc,35,11.90270958,0.252877503,0.087780629,-0.048369508,0.04050924,1,0.29090695340188644
418,2024,DNTH,Dianthus Therapeutics Inc,35,27.3309346,0.01670254,0.036885814,0.643920221,0.049539984,1,0.7406968803369767
436,2024,DVAX,Dynavax Technologies Corp,35,14.05108638,0.256830919,0.368575657,-0.118739654,0.020293019,1,0.5724307230854916
452,2024,ELSE,Electro-Sensors Inc,45,18.21255544,0.636145733,0.050181482,0.27678103,0.018157865,1,1.0
461,2024,ENVX,Enovix Corp,20,4.465043932,0.041265217,0.583869097,-0.117067285,0.062099332,1,0.35993491133924743
465,2024,ERII,Energy Recovery Inc,20,9.196302317,0.535436036,0.119680432,-0.250255635,0.033262754,1,0.30097541216966356
474,2024,EVGO,EVgo Inc,25,2.630676626,0.301851712,0.364084205,0.204794474,0.061116708,1,0.6046213351190843
478,2024,EVTV,Envirotech Vehicles Inc,25,3.464381816,0.075912153,0.163638957,-0.040491322,0.061352037,1,0.45229647575280657
498,2024,FATE,Fate Therapeutics Inc,35,8.65212091,0.025614602,0.260039545,-0.8048512,0.05711969,1,0.25015691813366797
502,2024,FDMT,4D Molecular Therapeutics Inc,35,22.50679157,0.036867342,0.065746244,-1.338961811,0.064065488,1,0.24024433110981502
505,2024,FEMY,Femasys Inc,35,6.542958205,0.057325999,0.418318407,0.08535988,0.055757783,1,0.3259679438365592
514,2024,FLGT,Fulgent Genetics Inc,35,5.423346546,0.225308367,0.082644338,-0.461098435,0.024571552,1,1.0
523,2024,FONR,Fonar Corp,35,8.985548849,0.486653014,0.249856577,-0.283379563,0.021630395,1,0.5480450327538465
537,2024,FTEK,Fuel Tech Inc,20,6.58161379,0.526678228,0.119842167,-1.51e-15,0.022102612,1,1.0
542,2024,FULC,Fulcrum Therapeutics Inc,35,19.54216027,0.304156097,0.078680189,-0.427906488,0.073857937,1,0.11893832088602102
549,2024,GBIO,Generation Bio Co,35,7.113259088,0.063274835,0.527560154,-0.562307641,0.061914865,1,0.23520056028697411
551,2024,GDRX,GoodRx Holdings Inc,35,6.542777805,0.538317817,0.530246813,-0.189464403,0.037741503,1,0.38545224572976783
556,2024,GEOS,Geospace Technologies Corp,10,5.196604059,0.888479734,0.115444761,-0.196032768,0.037762389,1,0.5324073154274961
557,2024,GERN,Geron Corp,35,3.309115064,0.066602692,0.326858699,0.503320838,0.056123013,1,0.7145379669087658
558,2024,GEVO,Gevo Inc,10,6.949406557,0.024886684,0.151181535,0.580160313,0.068192728,1,0.429360956515202
564,2024,GLUE,Monte Rosa Therapeutics Inc,35,5.610802099,0.048711266,0.380417909,0.195082752,0.075120214,1,0.2837070913924545
579,2024,GRWG,GrowGeneration Corp,25,4.791517203,0.904570313,0.282172199,-0.411364778,0.048984614,1,0.37618109882693634
581,2024,GSIT,GSI Technology Inc,45,4.83308362,0.411859444,0.232169002,0.130236455,0.059839223,1,0.3298394284717172
598,2024,HDSN,Hudson Technologies Inc,20,4.141092515,0.823626767,0.19250487,-0.91270005,0.030320918,1,0.7207735221136605
630,2024,HYPR,Hyperfine Inc,35,8.371702638,0.162818836,0.12442651,-0.250051005,0.039554595,1,0.3311756927744475
